economy,year,dt_dod_pvlx_cd
eap,2020,808751908000
eca,2020,591910389000
idx,2020,307073273000
lac,2020,864113830000
ldc,2020,283615212000
lmy,2020,3223432951000
lic,2020,104685746000
lmc,2020,1220902705000
mna,2020,217667677000
mic,2020,3118747205000
sas,2020,352300000000
ssa,2020,388689147000
umc,2020,1897844500000
afg,2020,2000000000
alb,2020,5500000000
dza,2020,1100000000
ago,2020,44000000000
arg,2020,100000000000
arm,2020,5600000000
aze,2020,13000000000
bgd,2020,44000000000
blr,2020,20000000000
blz,2020,1300000000
ben,2020,4500000000
btn,2020,2700000000
bol,2020,9600000000
bih,2020,5200000000
bwa,2020,1200000000
bra,2020,170000000000
bgr,2020,12000000000
bfa,2020,3800000000
bdi,2020,439194000
cpv,2020,1800000000
khm,2020,7600000000
cmr,2020,11000000000
caf,2020,570378000
tcd,2020,3300000000
chn,2020,390000000000
col,2020,86000000000
com,2020,251589000
cod,2020,4800000000
cog,2020,4500000000
cri,2020,12000000000
civ,2020,19000000000
dji,2020,2300000000
dma,2020,276027000
dom,2020,33000000000
ecu,2020,39000000000
egy,2020,93000000000
slv,2020,10000000000
eri,2020,615364000
swz,2020,624332000
eth,2020,26000000000
fji,2020,748674000
gab,2020,6900000000
gmb,2020,616530000
geo,2020,6200000000
gha,2020,23000000000
grd,2020,534559000
gtm,2020,9900000000
gin,2020,3600000000
gnb,2020,644280000
guy,2020,1100000000
hti,2020,1800000000
hnd,2020,7900000000
ind,2020,180000000000
idn,2020,240000000000
irn,2020,267677000
jam,2020,9900000000
jor,2020,17000000000
kaz,2020,23000000000
ken,2020,33000000000
xkx,2020,610389000
kgz,2020,4000000000
lao,2020,9600000000
lbn,2020,30000000000
lso,2020,932633000
lbr,2020,1100000000
mdg,2020,3600000000
mwi,2020,2400000000
mdv,2020,2300000000
mli,2020,5000000000
mrt,2020,4100000000
mus,2020,1800000000
mex,2020,300000000000
mda,2020,2100000000
mng,2020,9200000000
mne,2020,4300000000
mar,2020,42000000000
moz,2020,9300000000
mmr,2020,9500000000
npl,2020,6300000000
nic,2020,4800000000
ner,2020,4100000000
nga,2020,31000000000
mkd,2020,5200000000
pak,2020,78000000000
pan,2020,29000000000
png,2020,4900000000
pry,2020,10000000000
per,2020,27000000000
phl,2020,53000000000
rou,2020,58000000000
rus,2020,210000000000
rwa,2020,4400000000
wsm,2020,381230000
stp,2020,194847000
sen,2020,15000000000
srb,2020,16000000000
sle,2020,1400000000
slb,2020,122435000
som,2020,1700000000
zaf,2020,61000000000
lka,2020,37000000000
lca,2020,620310000
vct,2020,382934000
sdn,2020,6400000000
syr,2020,1500000000
tjk,2020,2900000000
tza,2020,15000000000
tha,2020,36000000000
tls,2020,205165000
tgo,2020,1900000000
ton,2020,171607000
tun,2020,25000000000
tur,2020,130000000000
tkm,2020,5300000000
uga,2020,10000000000
ukr,2020,47000000000
uzb,2020,16000000000
vut,2020,322797000
ven,2020,57000000000
vnm,2020,47000000000
yem,2020,5500000000
zmb,2020,12000000000
zwe,2020,2200000000
