country,year,sl_fam_0714_ma_zs
afg,2011,57.17
alb,2005,93.2
alb,2010,91.59
ago,2001,78.9
arg,2004,53.6
arg,2012,84.54
arm,2010,98.52
aze,2005,89.2
bgd,2006,78.9
blr,2005,73.7
blr,2012,81.82
ben,2012,80.39
bol,2009,87.01
bih,2006,90.31
bra,2011,68.94
bfa,2006,96.24
bfa,2010,90.03
bdi,2010,85.58
khm,2009,84.99
khm,2012,78.63
cmr,2007,86.54
cmr,2011,65.57
caf,2006,71.98
caf,2010,78.21
tcd,2004,78.02
tcd,2010,63.4
col,2009,59.11
col,2012,51.9
zar,2010,79.5
cog,2005,82.63
cog,2012,73.38
cri,2011,72.3
civ,2006,86.66
civ,2012,85.23
dom,2009,31.14
ecu,2011,74.57
egy,2005,85.86
egy,2009,42.48
slv,2011,79.37
slv,2012,80.28
eth,2011,90.82
gab,2012,74.25
geo,2006,76.17
gha,2006,75.52
gtm,2006,79.73
gtm,2012,83.02
gin,2010,91.11
gin,2012,83.64
gnb,2006,87.14
hti,2006,75.53
hti,2012,73.98
hnd,2007,73.77
hnd,2011,73.06
hnd,2013,73.55
ind,2010,55.89
ind,2012,48.97
idn,2010,81.2
irq,2006,80.89
irq,2011,77.52
jam,2005,70.57
jam,2011,77.9
jor,2007,43.88
kaz,2006,76.53
kgz,2007,97.95
lao,2006,85.99
lao,2010,82.12
lso,2000,82.26
lbr,2010,80.03
mkd,2006,91.35
mkd,2011,73.52
mdg,2007,89.09
mwi,2006,75.73
mli,2007,86.76
mli,2013,83.31
mrt,2007,89.25
mex,2011,58.62
mda,2009,96.38
mng,2007,94.48
mng,2012,96.98
moz,2008,89.2
nam,1999,93.6
npl,1999,91.8
npl,2008,91.97
nic,2005,83.94
nic,2010,80.4
ner,2009,87.92
ner,2012,69.65
nga,2007,78.52
pak,2011,71.98
pan,2008,75.07
pan,2010,69.32
pan,2012,61.47
pry,2005,70.05
per,2007,87.13
phl,2001,71.5
phl,2011,70.35
rom,2000,91.34
rwa,2008,71.86
rwa,2010,77.96
sen,2011,85.43
srb,2005,85.09
sle,2008,69.73
sle,2010,67.47
sle,2013,58.0
som,2006,96.26
zaf,1999,86.52
ssd,2008,69.58
lka,2009,91.0
sdn,2008,57.44
swz,2010,72.57
syr,2006,63.31
tjk,2005,72.11
tza,2006,44.88
tza,2011,90.1
tha,2005,81.01
tha,2006,81.01
tgo,2010,90.1
tto,2006,39.51
tun,2012,75.33
tur,2006,63.84
uga,2006,97.18
uga,2012,84.9
ukr,2005,79.66
ukr,2012,77.56
ury,2009,44.99
uzb,2005,77.2
uzb,2006,77.2
ven,2006,30.39
vnm,2011,89.2
vnm,2012,82.35
yem,2006,82.72
yem,2010,83.71
zmb,2008,92.68
zwe,1999,68.75
