country,year,sl_wag_0714_zs
afg,2011,17.37
alb,2005,1.4
alb,2010,1.91
ago,2001,6.17
arg,2004,8.13
arg,2012,7.15
aze,2005,3.8
bgd,2006,17.01
blr,2005,9.17
blr,2012,14.21
ben,2012,4.79
bol,2009,8.95
bih,2006,1.6
bra,2011,28.07
bfa,2006,2.23
bfa,2010,1.34
bdi,2010,6.19
khm,2009,5.75
khm,2012,19.63
cmr,2007,9.48
cmr,2011,2.45
caf,2006,1.53
caf,2010,4.32
tcd,2004,1.83
tcd,2010,7.65
col,2009,14.64
col,2012,16.93
zar,2010,7.5
cog,2005,4.22
cog,2012,7.09
cri,2011,16.9
civ,2006,2.4
civ,2012,5.48
dom,2009,24.65
ecu,2011,13.78
egy,2005,11.4
egy,2009,59.0
slv,2011,14.25
slv,2012,14.01
eth,2011,3.28
gab,2012,8.64
geo,2006,4.28
gha,2006,6.11
gtm,2006,18.83
gtm,2012,15.67
gin,2010,0.21
gin,2012,2.44
gnb,2006,3.95
hti,2006,1.8
hti,2012,3.58
hnd,2007,23.04
hnd,2011,19.29
hnd,2013,18.4
ind,2010,6.74
ind,2012,40.93
idn,2010,15.6
irq,2006,7.04
irq,2011,12.67
jam,2005,16.26
jam,2011,16.87
jor,2007,44.46
kaz,2006,3.95
kgz,2007,0.55
lao,2006,5.78
lao,2010,3.55
lso,2000,3.63
lbr,2010,0.9
mkd,2006,3.86
mkd,2011,20.37
mdg,2007,9.99
mwi,2006,6.74
mli,2007,4.02
mli,2013,2.83
mrt,2007,5.91
mex,2011,37.8
mda,2009,1.65
mng,2007,0.15
moz,2008,3.69
nam,1999,4.5
npl,1999,3.27
npl,2008,2.08
nic,2005,13.78
nic,2010,11.61
ner,2006,74.47
ner,2009,3.39
ner,2012,7.54
nga,2007,2.21
pak,2011,14.38
pan,2008,11.3
pan,2010,11.02
pan,2012,18.54
pry,2005,24.82
per,2007,5.98
phl,2001,22.8
phl,2011,20.42
rwa,2008,12.76
rwa,2010,8.66
sen,2011,1.41
srb,2005,5.16
sle,2008,0.62
sle,2010,2.37
sle,2013,0.76
som,2006,1.57
zaf,1999,7.1
ssd,2008,4.49
lka,2009,4.44
sdn,2008,17.72
swz,2010,16.01
syr,2006,21.45
tjk,2005,24.16
tza,2006,0.92
tza,2011,0.9
tha,2005,13.54
tha,2006,13.54
tgo,2010,2.21
tto,2006,43.25
tun,2012,13.77
tur,2006,34.12
uga,2006,1.53
uga,2012,2.98
ukr,2005,3.07
ukr,2012,13.18
ury,2009,40.78
uzb,2005,3.8
uzb,2006,3.8
ven,2006,33.09
vnm,2011,9.69
vnm,2012,7.53
yem,2006,6.09
yem,2010,7.35
zmb,2008,3.92
zwe,1999,28.41
