country,year,sl_mnf_0714_zs
alb,2010,1.26
aze,2005,0.7
bgd,2003,12.66
blz,2001,3.7674687481
bol,2008,6.1
bol,2009,5.52
bra,2007,8.7
bra,2008,7.6
bra,2009,6.91
bra,2011,7.06
bfa,2006,1.42
khm,2001,5.04
khm,2004,4.18
khm,2009,2.98
khm,2012,13.3
cmr,2001,2.1
cmr,2007,3.14
chl,2003,6.85
chl,2012,2.89
col,2007,10.76
col,2009,14.52
col,2012,17.79
cri,2004,9.48
cri,2011,6.73
dom,2005,9.81
dom,2009,7.37
ecu,2006,6.3
ecu,2009,4.97
ecu,2011,7.13
egy,2009,9.55
slv,2003,12.4989931659
slv,2007,13.31
slv,2009,11.47
slv,2011,9.64
slv,2012,10.76
eth,2005,1.48
gtm,2006,9.67
gtm,2012,6.91
gin,2010,1.7
hnd,2004,8.32
hnd,2007,10.44
hnd,2011,5.58
hnd,2013,10.08
ind,2000,12.47
ind,2005,16.02
ind,2010,13.01
ind,2012,27.57
idn,2009,6.68
idn,2010,9.9
jor,2007,8.23
ken,1999,1.4821931983
kgz,1998,0.0
kgz,2007,0.11
lao,2010,2.12
lso,2002,0.0
lbr,2010,2.78
mdg,2001,0.96
mdg,2007,2.93
mli,2005,3.1
mli,2007,4.71
mex,2007,10.76
mex,2009,11.74
mex,2010,9.48
mex,2011,9.53
mda,2009,0.05
mng,2007,0.3
mng,2012,2.02
mar,1999,8.25
mar,2004,17.91
nam,1999,0.39
npl,1999,1.38
npl,2008,1.39
nic,2001,4.8883477614
nic,2005,9.65
nic,2010,7.75
ner,2009,3.34
nga,2010,3.3
pak,2008,7.79
pak,2011,6.72
pan,2008,2.92
pan,2010,4.4
pan,2012,3.64
pry,2005,6.18
per,2007,4.96
phl,2001,4.1
phl,2011,4.32
prt,2001,11.16
rom,2000,0.0
rwa,2008,0.67
sen,2005,5.04
sen,2011,2.81
sle,2007,0.78
ssd,2008,0.34
lka,1999,13.11
lka,2009,15.28
sdn,2008,0.61
tza,2001,0.1536474757
tza,2006,0.69
tmp,2001,0.0
tgo,2006,1.32
tgo,2010,2.74
tur,1999,15.9195491743
tur,2006,14.29
uga,2006,1.36
uga,2012,1.09
ury,2009,8.47
ven,2003,8.0869201974
ven,2006,7.17
vnm,2012,5.9
yem,1999,0.99
yem,2010,1.08
zmb,2005,0.57
zmb,2008,0.65
